GAME_DATE,MATCHUP,MIN,PTS,REB,AST,FG_PCT,TOV,Player,Opponent,HomeAway,PTS_Roll3,REB_Roll3,AST_Roll3,TEAM_ID,TEAM_NAME,DefensiveRating,Pace,PointsAllowed,ReboundsAllowed,OpponentFGPctAllowed,Opponent3PtPctAllowed,DefensiveRatingScaled,PointsAllowedScaled,ReboundsAllowedScaled,OpponentFGPctAllowedScaled,Opponent3PtPctAllowedScaled,PaceScaled,DefensiveRatingHard,PointsAllowedHard,ReboundsAllowedHard,OpponentFGPctAllowedHard,Opponent3PtPctAllowedHard,PaceHard,MatchupDifficulty,SeasonAvgPTS,SeasonAvgREB,SeasonAvgAST,SeasonAvgTOV,SeasonAvgFG_PCT,PTS_vs_SeasonAvg,REB_vs_SeasonAvg,AST_vs_SeasonAvg,TOV_vs_SeasonAvg,FG_PCT_vs_SeasonAvg
2025-11-10,PHX vs. NOP,27,19,0,3,0.615,3,Devin Booker,NOP,Home,27.666666666666668,6.333333333333333,6.666666666666667,1610612740.0,New Orleans Pelicans,117.6,101.37,120.0,45.8,0.477,0.35,0.7400000000000002,0.6808510638297873,0.7647058823529411,0.6666666666666661,0.03125,0.6693641618497104,0.2599999999999998,0.31914893617021267,0.23529411764705888,0.3333333333333339,0.96875,0.33063583815028963,0.35706248869613033,26.0625,3.875,6.03125,3.140625,0.4555,-7.0625,-3.875,-3.03125,-0.140625,0.15949999999999998
2025-11-12,PHX @ DAL,38,26,3,9,0.368,5,Devin Booker,DAL,Away,21.333333333333332,5.333333333333333,6.333333333333333,1610612742.0,Dallas Mavericks,115.5,102.63,119.6,46.8,0.478,0.35,0.6000000000000005,0.6595744680851059,0.882352941176471,0.6833333333333327,0.03125,0.8150289017341024,0.39999999999999947,0.3404255319148941,0.117647058823529,0.3166666666666673,0.96875,0.18497109826589764,0.36860427503309784,26.0625,3.875,6.03125,3.140625,0.4555,-0.0625,-0.875,2.96875,1.859375,-0.08750000000000002
2025-11-13,PHX vs. IND,29,33,5,7,0.545,1,Devin Booker,IND,Home,22.0,4.333333333333333,7.0,1610612754.0,Indiana Pacers,117.9,101.78,120.4,46.7,0.489,0.355,0.7600000000000007,0.7021276595744688,0.8705882352941181,0.8666666666666663,0.1875,0.7167630057803471,0.23999999999999932,0.29787234042553123,0.1294117647058819,0.13333333333333375,0.8125,0.28323699421965287,0.28055993221295367,26.0625,3.875,6.03125,3.140625,0.4555,6.9375,1.125,0.96875,-2.140625,0.08950000000000002
2025-11-16,PHX vs. ATL,38,27,2,7,0.435,5,Devin Booker,ATL,Home,26.0,2.6666666666666665,6.333333333333333,1610612737.0,Atlanta Hawks,112.9,102.5,116.0,45.2,0.474,0.355,0.42666666666666764,0.4680851063829792,0.6941176470588246,0.6166666666666663,0.1875,0.7999999999999989,0.5733333333333324,0.5319148936170208,0.3058823529411754,0.38333333333333375,0.8125,0.20000000000000107,0.4830153316645804,26.0625,3.875,6.03125,3.140625,0.4555,0.9375,-1.875,0.96875,1.859375,-0.020500000000000018
2025-11-18,PHX @ POR,29,19,6,5,0.462,1,Devin Booker,POR,Away,28.666666666666668,3.3333333333333335,7.666666666666667,1610612757.0,Portland Trail Blazers,113.5,101.63,115.8,43.0,0.471,0.358,0.4666666666666668,0.457446808510638,0.43529411764705905,0.5666666666666664,0.28125,0.699421965317919,0.5333333333333332,0.542553191489362,0.564705882352941,0.43333333333333357,0.71875,0.300578034682081,0.5201493241190216,26.0625,3.875,6.03125,3.140625,0.4555,-7.0625,2.125,-1.03125,-2.140625,0.006500000000000006
2025-11-21,PHX vs. MIN,35,16,3,10,0.222,9,Devin Booker,MIN,Home,26.333333333333332,4.333333333333333,6.333333333333333,1610612750.0,Minnesota Timberwolves,112.5,101.5,114.6,43.7,0.462,0.355,0.40000000000000036,0.3936170212765955,0.5176470588235302,0.41666666666666696,0.1875,0.6843930635838156,0.5999999999999996,0.6063829787234045,0.48235294117646976,0.583333333333333,0.8125,0.3156069364161844,0.5739402305627697,26.0625,3.875,6.03125,3.140625,0.4555,-10.0625,-0.875,3.96875,5.859375,-0.2335
2025-11-23,PHX vs. SAS,38,24,5,7,0.389,2,Devin Booker,SAS,Home,20.666666666666668,3.6666666666666665,7.333333333333333,1610612759.0,San Antonio Spurs,110.4,100.72,111.5,42.6,0.451,0.352,0.2600000000000007,0.22872340425531945,0.38823529411764746,0.2333333333333334,0.09375,0.5942196531791897,0.7399999999999993,0.7712765957446805,0.6117647058823525,0.7666666666666666,0.90625,0.4057803468208103,0.7142230597133696,26.0625,3.875,6.03125,3.140625,0.4555,-2.0625,1.125,0.96875,-1.140625,-0.0665
2025-11-24,PHX vs. HOU,38,18,3,5,0.385,5,Devin Booker,HOU,Home,19.666666666666668,4.666666666666667,7.333333333333333,1610612745.0,Houston Rockets,112.1,96.98,110.0,39.5,0.46,0.351,0.3733333333333331,0.1489361702127665,0.023529411764706687,0.38333333333333375,0.0625,0.16184971098265954,0.6266666666666669,0.8510638297872335,0.9764705882352933,0.6166666666666663,0.9375,0.8381502890173405,0.7747483830944748,26.0625,3.875,6.03125,3.140625,0.4555,-8.0625,-0.875,-1.03125,1.859375,-0.07050000000000001
2025-11-26,PHX @ SAC,39,19,7,6,0.273,1,Devin Booker,SAC,Away,19.333333333333332,3.6666666666666665,7.333333333333333,1610612758.0,Sacramento Kings,120.3,100.12,121.0,43.9,0.494,0.379,0.9199999999999999,0.7340425531914896,0.5411764705882351,0.9500000000000002,0.9375,0.5248554913294807,0.08000000000000007,0.2659574468085104,0.45882352941176485,0.04999999999999982,0.0625,0.47514450867051927,0.20727946964051874,26.0625,3.875,6.03125,3.140625,0.4555,-7.0625,3.125,-0.03125,-2.140625,-0.1825
2025-11-28,PHX @ OKC,39,21,8,6,0.385,5,Devin Booker,OKC,Away,20.333333333333332,5.0,6.0,1610612760.0,Oklahoma City Thunder,106.5,100.37,107.9,45.2,0.437,0.369,0.0,0.03723404255319185,0.6941176470588246,0.0,0.625,0.553757225433527,1.0,0.9627659574468082,0.3058823529411754,1.0,0.375,0.446242774566473,0.7705598218871852,26.0625,3.875,6.03125,3.140625,0.4555,-5.0625,4.125,-0.03125,1.859375,-0.07050000000000001
